,Date,Open,High,Low,Close,Volume
0,2018-04-12 00:00:00,6953.78000000,6975.00000000,6918.00000000,6931.00000000,1243.30630100
1,2018-04-12 01:00:00,6933.49000000,6949.90000000,6885.00000000,6939.99000000,1073.85986700
2,2018-04-12 02:00:00,6939.98000000,6972.24000000,6930.00000000,6964.00000000,869.22166200
3,2018-04-12 03:00:00,6965.00000000,6980.00000000,6936.92000000,6965.20000000,1177.90424000
4,2018-04-12 04:00:00,6965.21000000,6980.00000000,6935.00000000,6979.00000000,914.32426700
5,2018-04-12 05:00:00,6979.89000000,6985.00000000,6928.00000000,6940.00000000,892.33554500
6,2018-04-12 06:00:00,6940.01000000,6967.02000000,6765.00000000,6776.40000000,2351.03956400
7,2018-04-12 07:00:00,6767.17000000,6850.85000000,6743.20000000,6826.61000000,2888.08159500
8,2018-04-12 08:00:00,6826.62000000,6860.01000000,6802.70000000,6843.00000000,1179.40755500
9,2018-04-12 09:00:00,6842.99000000,6865.71000000,6818.80000000,6850.99000000,1305.53037100
10,2018-04-12 10:00:00,6850.99000000,6951.89000000,6840.01000000,6935.10000000,1270.91353700
11,2018-04-12 11:00:00,6935.11000000,8012.23000000,6935.02000000,7690.00000000,16480.89313300
12,2018-04-12 12:00:00,7685.55000000,7780.00000000,7569.83000000,7686.93000000,7501.31810000
13,2018-04-12 13:00:00,7686.93000000,7739.80000000,7627.00000000,7683.18000000,3525.78510900
14,2018-04-12 14:00:00,7683.18000000,7735.94000000,7577.00000000,7644.00000000,2964.57625800
15,2018-04-12 15:00:00,7644.00000000,7650.00000000,7582.31000000,7614.21000000,2132.63358900
16,2018-04-12 16:00:00,7618.00000000,7625.00000000,7542.00000000,7619.00000000,2314.60065900
17,2018-04-12 17:00:00,7619.00000000,7775.00000000,7607.36000000,7688.00000000,3034.18377000
18,2018-04-12 18:00:00,7688.00000000,7709.95000000,7642.01000000,7689.89000000,1373.06762200
19,2018-04-12 19:00:00,7688.67000000,7768.00000000,7680.00000000,7700.00000000,1525.62255000
20,2018-04-12 20:00:00,7699.97000000,7778.00000000,7694.05000000,7738.01000000,1201.26646900
21,2018-04-12 21:00:00,7739.00000000,7945.00000000,7720.00000000,7851.00000000,2833.55187700
22,2018-04-12 22:00:00,7853.00000000,7890.30000000,7716.19000000,7890.00000000,2272.45486800
23,2018-04-12 23:00:00,7890.00000000,7986.10000000,7851.20000000,7923.00000000,2535.71747900
24,2018-04-13 00:00:00,7922.99000000,7994.96000000,7790.00000000,7900.94000000,2952.46744500
25,2018-04-13 01:00:00,7900.00000000,7909.00000000,7732.00000000,7793.22000000,1828.48003900
26,2018-04-13 02:00:00,7793.22000000,7916.87000000,7791.68000000,7895.00000000,1847.89534100
27,2018-04-13 03:00:00,7895.00000000,7932.00000000,7832.78000000,7832.99000000,1279.58395200
28,2018-04-13 04:00:00,7832.99000000,7846.62000000,7790.87000000,7827.41000000,1304.15651200
29,2018-04-13 05:00:00,7827.40000000,7835.00000000,7751.00000000,7783.40000000,1762.82199900
30,2018-04-13 06:00:00,7788.96000000,7880.51000000,7779.99000000,7829.73000000,1374.44325900
31,2018-04-13 07:00:00,7825.34000000,8195.84000000,7820.97000000,8093.01000000,4044.29211900
32,2018-04-13 08:00:00,8100.00000000,8160.00000000,8033.00000000,8133.01000000,3666.96049100
33,2018-04-13 09:00:00,8133.00000000,8170.00000000,8055.00000000,8066.96000000,2747.84737800
34,2018-04-13 10:00:00,8066.96000000,8108.00000000,8005.00000000,8062.09000000,1960.71660600
35,2018-04-13 11:00:00,8062.01000000,8141.00000000,8052.54000000,8091.00000000,2253.01144400
36,2018-04-13 12:00:00,8091.40000000,8233.39000000,8088.00000000,8193.49000000,2379.42967400
37,2018-04-13 13:00:00,8194.00000000,8220.67000000,8020.00000000,8096.00000000,3672.93680700
38,2018-04-13 14:00:00,8096.51000000,8124.63000000,8013.27000000,8099.00000000,2548.19796900
39,2018-04-13 15:00:00,8100.00000000,8133.00000000,8068.46000000,8125.00000000,1717.72376500
40,2018-04-13 16:00:00,8125.41000000,8157.00000000,8083.99000000,8130.00000000,1427.46751000
41,2018-04-13 17:00:00,8132.41000000,8168.00000000,8060.00000000,8114.79000000,1737.61320300
42,2018-04-13 18:00:00,8115.00000000,8124.49000000,8079.00000000,8117.84000000,997.85893600
43,2018-04-13 19:00:00,8117.93000000,8130.00000000,8050.00000000,8094.00000000,1177.28001900
44,2018-04-13 20:00:00,8093.82000000,8109.90000000,7822.00000000,7885.00000000,4581.05137700
45,2018-04-13 21:00:00,7885.00000000,7903.58000000,7801.00000000,7859.74000000,2463.31284100
46,2018-04-13 22:00:00,7864.57000000,7899.00000000,7768.47000000,7899.00000000,3082.77873000
47,2018-04-13 23:00:00,7895.39000000,7967.26000000,7844.42000000,7877.41000000,2236.19573200
48,2018-04-14 00:00:00,7877.48000000,7924.92000000,7810.00000000,7910.21000000,1653.49085100
49,2018-04-14 01:00:00,7910.21000000,8095.00000000,7900.00000000,8065.24000000,2257.04770900
50,2018-04-14 02:00:00,8069.43000000,8090.00000000,8002.95000000,8033.59000000,1168.32637000
51,2018-04-14 03:00:00,8033.58000000,8060.00000000,8000.01000000,8044.66000000,1156.24260100
52,2018-04-14 04:00:00,8044.67000000,8046.76000000,7935.15000000,7960.01000000,1485.86666400
53,2018-04-14 05:00:00,7960.01000000,8025.13000000,7949.07000000,7957.36000000,951.32327200
54,2018-04-14 06:00:00,7963.99000000,8023.28000000,7955.00000000,8018.00000000,1208.70998500
55,2018-04-14 07:00:00,8019.88000000,8186.00000000,7986.13000000,8127.74000000,2141.85568600
56,2018-04-14 08:00:00,8129.99000000,8175.00000000,8071.01000000,8100.07000000,1387.23379300
